Train Number,Train Name,From,To,Departure,Arrival,Duration
12951,Mumbai Rajdhani Express,Mumbai Central (BCT),Delhi Junction (DLI),17:00,08:35 (+1),15h 35m
12952,New Delhi Rajdhani Express,Delhi Junction (DLI),Mumbai Central (BCT),16:55,08:15 (+1),15h 20m
12163,Chennai Superfast Express,Mumbai CST (CSTM),Chennai Central (MAS),23:45,03:30 (+2),27h 45m
12301,Howrah Rajdhani Express,Howrah (HWH),Delhi Junction (DLI),14:05,09:55 (+1),19h 50m
12657,Bangalore Mail,Chennai Central (MAS),Bangalore City (SBC),22:00,05:30 (+1),7h 30m
11301,Udyan Express,Mumbai CST (CSTM),Bangalore City (SBC),08:05,11:35 (+1),27h 30m
12246,Yuva Express,Howrah (HWH),Pune Junction (PUNE),11:35,21:00 (+1),33h 25m
19019,Dehradun Express,Ahmedabad Junction (ADI),Delhi Junction (DLI),06:20,05:10 (+1),22h 50m
22691,Rajdhani Express,Bangalore City (SBC),Delhi Junction (DLI),20:00,05:30 (+2),33h 30m
12621,Tamil Nadu Express,Delhi Junction (DLI),Chennai Central (MAS),22:30,07:10 (+2),32h 40m
